Date,Description,Category,Amount,Account,Account #,Institution,Month,Week,Check Number,Full Description,Date Added,Categorized Date
2025-09-04,NJ Motor Vehicle Pay x-x-5948 NJ,Car Maint & Repair,-73.64,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,NJ MOTOR VEHICLE PAY XXX-XXX-5948 NJ,2025-09-29 19:22:21.200,
2025-09-12,Amazon Mktpl*g33k51hj3,Shopping,-69.99,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*G33K51HJ3,2025-09-29 19:22:21.200,2025-09-29
2025-09-22,Dominion Energy Inc Com - Reinvestment as of x-X9-20 Dominion Energy Inc Com,Transfer,-68.25,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-22,,DOMINION ENERGY INC COM - REINVESTMENT as of XXXX-X9-20 DOMINION ENERGY INC COM,2025-09-29 19:22:21.200,
2025-09-04,Sunoco x5000 Qps Camden NJ,Gas,-66.01,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SUNOCO XXXXXX5000 QPS CAMDEN NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-08,Amazon Mktpl*l55ja9se3,Shopping,-64.99,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*L55JA9SE3,2025-09-29 19:22:21.200,2025-09-29
2025-09-21,Thrive Market x6840 CA,Meal Services,-63.92,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,THRIVE MARKET XXXXXX6840 CA,2025-09-29 19:22:21.200,
2025-09-12,Amazon Mktpl*ae7tx3973,Shopping,-63.04,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*AE7TX3973,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,3 Brothers Pizza Ocean City NJ,Restaurants,-61.89,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,3 BROTHERS PIZZA OCEAN CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-19,Welcome B/waitrose Newport Pagne Gbr,,-61.1,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,WELCOME B/WAITROSE NEWPORT PAGNE GBR,2025-09-29 19:22:21.200,
2025-09-08,Amazon Mktpl*ed0em0153,Shopping,-60.67,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*ED0EM0153,2025-09-29 19:22:21.200,2025-09-29
2025-09-16,Ac Fuel Atlantic City NJ,Gas,-55.22,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,AC FUEL ATLANTIC CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-10,Check Paid # 1290,Misc,-55.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-08,,Check Paid # 1290,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,Sq *congo Falls Ocean Ocean City NJ,,-54.95,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SQ *CONGO FALLS OCEAN Ocean City NJ,2025-09-29 19:22:21.200,
2025-09-16,Duke Energy Corp New Com New Isin #usx6441c2044 Sedol #b7jzsk0 - Reinvestment Duke Energy Corp New Com New Isin #u...,Transfer,-52.86,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-15,,DUKE ENERGY CORP NEW COM NEW ISIN #USX6441C2044 SEDOL #B7JZSK0 - REINVESTMENT DUKE ENERGY CORP NEW COM NEW ISIN #U...,2025-09-29 19:22:21.200,
2025-09-07,Margate City - Parks P Margate City NJ,Events & Activities,-50.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,MARGATE CITY - PARKS P MARGATE CITY NJ,2025-09-29 19:22:21.200,
2025-09-14,Casels's Margate City NJ,Groceries,-48.78,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,CASELS'S MARGATE CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-23,Check Paid # 1292,Childcare,-45.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-22,,Check Paid # 1292,2025-09-29 19:22:21.200,
2025-09-23,Check Paid # 1291,Childcare,-45.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-22,,Check Paid # 1291,2025-09-29 19:22:21.200,
2025-09-16,Taco Bell Xx4761 Mays Landing NJ,Restaurants,-38.59,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,TACO BELL XX4761 MAYS LANDING NJ,2025-09-29 19:22:21.200,
2025-09-06,Poke Bowl Atlantic City NJ,Restaurants,-37.55,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,POKE BOWL ATLANTIC CITY NJ,2025-09-29 19:22:21.200,
2025-09-05,Amazon Mktpl*ds5xa2ag3,Shopping,-37.3,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,AMAZON MKTPL*DS5XA2AG3,2025-09-29 19:22:21.200,2025-09-29
2025-09-18,Sunoco x9900 Qps Absecon NJ,Gas,-32.86,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,SUNOCO XXXXXX9900 QPS ABSECON NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-07,Amazon Mktpl*9z3dt6wo3,Shopping,-31.93,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,AMAZON MKTPL*9Z3DT6WO3,2025-09-29 19:22:21.200,2025-09-29
2025-09-15,Amazon Mktpl*897xo6rb3,Shopping,-31.8,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-15,,AMAZON MKTPL*897XO6RB3,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,Sq *encounters Ocean City NJ,,-29.98,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SQ *ENCOUNTERS Ocean City NJ,2025-09-29 19:22:21.200,
2025-09-19,The Talbot Hotel Peterborough Gbr,,-29.1,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,The Talbot Hotel Peterborough GBR,2025-09-29 19:22:21.200,
2025-09-20,The Greedy Piglet Peterborough Gbr,,-28.9,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,The Greedy Piglet Peterborough GBR,2025-09-29 19:22:21.200,
2025-09-20,Boots 0042 Peterborough Gbr,,-27.73,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,BOOTS 0042 PETERBOROUGH GBR,2025-09-29 19:22:21.200,
2025-09-16,Amazon Mktpl*n78wt1w21,Shopping,-27.33,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-15,,AMAZON MKTPL*N78WT1W21,2025-09-29 19:22:21.200,2025-09-29
2025-09-23,Direct Debit B2p*south Jersb2p*south,Utilities,-26.87,106 Newport,xxxx6506,Fidelity Investments,2025-09-01,2025-09-22,,DIRECT DEBIT B2P*SOUTH JERSB2P*SOUTH,2025-09-29 19:22:21.200,2025-09-29
2025-09-21,Netflix.com Los Gatos CA,Software Subs,-26.65,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,Netflix.com Los Gatos CA,2025-09-29 19:22:21.200,2025-09-29
2025-09-18,Starbucks Seattle WA,Coffee and Donuts,-25.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,STARBUCKS SEATTLE WA,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Sundaze Ventnor City NJ,Coffee and Donuts,-24.94,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SUNDAZE VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Wec Energy Group Inc Com - Reinvestment as of x-X9-01 Wec Energy Group Inc Com,Transfer,-24.59,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-01,,WEC ENERGY GROUP INC COM - REINVESTMENT as of XXXX-X9-01 WEC ENERGY GROUP INC COM,2025-09-29 19:22:21.200,
2025-09-16,Capri Pizza Ventnor Ventnor NJ,Restaurants,-24.2,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,CAPRI PIZZA VENTNOR VENTNOR NJ,2025-09-29 19:22:21.200,
2025-09-05,Burger King #x1666 Ventnor City NJ,Restaurants,-23.85,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,BURGER KING #X1666 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Walgreens #x7821 Ventnor City NJ,Pharmacy,-22.94,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,WALGREENS #X7821 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-19,Amazon Mktpl*jl27g33c3,Shopping,-22.91,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-15,,AMAZON MKTPL*JL27G33C3,2025-09-29 19:22:21.200,2025-09-29
2025-09-25,Amazon.com*yb4d122s3,Shopping,-22.67,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-22,,Amazon.com*YB4D122S3,2025-09-29 19:22:21.200,2025-09-29
2025-09-11,Ac Fuel Atlantic City NJ,Gas,-22.48,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,AC FUEL ATLANTIC CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-17,Ca$*asian Takeout Ordr Raleigh NC,Restaurants,-20.71,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,CA$*ASIAN TAKEOUT ORDR RALEIGH NC,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,"Catherine W. Larkin, M Seattle WA",Healthcare,-20.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,"CATHERINE W. LARKIN, M SEATTLE WA",2025-09-29 19:22:21.200,2025-09-29
2025-09-11,Cvs/pharmacy #x2235 Cherry Hill NJ,Pharmacy,-19.98,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,CVS/PHARMACY #X2235 CHERRY HILL NJ,2025-09-29 19:22:21.200,
2025-09-15,Alphabet Inc Cap Stk Cl C - Reinvestment Alphabet Inc Cap Stk Cl C,,-19.35,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-15,,ALPHABET INC CAP STK CL C - REINVESTMENT ALPHABET INC CAP STK CL C,2025-09-29 19:22:21.200,
2025-09-06,Augment Code Palo Alto CA,Software & Subscriptions,-17.74,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,AUGMENT CODE PALO ALTO CA,2025-09-29 19:22:21.200,2025-09-29
2025-09-13,Chick-fil-a #x3909 Egg Harbor Tw NJ,Restaurants,-16.31,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,CHICK-FIL-A #X3909 EGG HARBOR TW NJ,2025-09-29 19:22:21.200,
2025-09-22,Tst-paris Baguette-hsk London Gbr,,-16.28,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,TST-Paris Baguette-HSK London GBR,2025-09-29 19:22:21.200,
2025-09-10,International Bus Mach Corp Com Usd0.20 - Reinvestment International Bus Mach Corp Com Usd0.20,,-15.9,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-08,,INTERNATIONAL BUS MACH CORP COM USD0.20 - REINVESTMENT INTERNATIONAL BUS MACH CORP COM USD0.20,2025-09-29 19:22:21.200,
2025-09-04,Jimmy Johns - 3463 Philadelphia PA,,-15.41,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,JIMMY JOHNS - 3463 PHILADELPHIA PA,2025-09-29 19:22:21.200,
2025-09-16,Amazon Mktpl*8g8033ai3,Shopping,-14.92,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-15,,AMAZON MKTPL*8G8033AI3,2025-09-29 19:22:21.200,2025-09-29
2025-09-16,Prime Video Channels,Software & Subscriptions,-14.33,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-15,,Prime Video Channels,2025-09-29 19:22:21.200,2025-09-29
2025-09-22,Tst-paris Baguette-hsk London Gbr,,-13.97,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,TST-Paris Baguette-HSK London GBR,2025-09-29 19:22:21.200,
2025-09-19,The Talbot Hotel Peterborough Gbr,,-13.91,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,The Talbot Hotel Peterborough GBR,2025-09-29 19:22:21.200,
2025-09-25,Qualcomm Inc - Reinvestment Qualcomm Inc,Transfer,-13.76,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-22,,QUALCOMM INC - REINVESTMENT QUALCOMM INC,2025-09-29 19:22:21.200,
2025-09-20,Sumup *benefield Cric Upper Benefie Gbr,,-13.57,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,SumUp *Benefield Cric Upper Benefie GBR,2025-09-29 19:22:21.200,
2025-09-04,Enbridge Inc Com Isin #cax9250n1050 Sedol #x49 - Foreign Tax Paid as of x-X9-01 Enbridge Inc Com Isin #cax9250n1050 ...,,-13.55,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-01,,ENBRIDGE INC COM ISIN #CAX9250N1050 SEDOL #XXXXX49 - FOREIGN TAX PAID as of XXXX-X9-01 ENBRIDGE INC COM ISIN #CAX9250N1050 ...,2025-09-29 19:22:21.200,
2025-09-22,Spotify Usa New York NY,Software Subs,-13.23,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,Spotify USA New York NY,2025-09-29 19:22:21.200,2025-09-29
2025-09-05,Constellation Energy Corp Com - Reinvestment Constellation Energy Corp Com,Transfer,-12.7,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-01,,CONSTELLATION ENERGY CORP COM - REINVESTMENT CONSTELLATION ENERGY CORP COM,2025-09-29 19:22:21.200,
2025-09-14,Walgreens #x7821 Ventnor City NJ,Pharmacy,-12.35,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,WALGREENS #X7821 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-10,Amazon Mktpl*wd1tt4x33,Shopping,-12.01,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*WD1TT4X33,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Direct Debit Venmo Payment,Venmo - Review,-12.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Direct Debit Venmo Payment,Venmo - Review,-12.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-03,Amazon Digit*354vr7ce3,Software Subs,-11.02,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,Amazon Digit*354VR7CE3,2025-09-29 19:22:21.200,
